관리번호,설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,상세위치,관리기관명,관리기관전화번호,데이터기준일자
A-19,귀뚜라미보일러옆,서울특별시,서초구,서울특별시 서초구 효령로67길 71-9,서울특별시 서초구 서초동 1610-4,37.48990189,127.0223502,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-14,스위트힐 ,서울특별시,서초구,서울특별시 서초구 사임당로8길 29,서울특별시 서초구 서초동 1622-9,37.48735308,127.0159509,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-24,서초꽃마을레지던스,서울특별시,서초구,서울특별시 서초구 사임당로19길 22,서울특별시 서초구 서초동 1648-1,37.49095749,127.0194429,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
A-01,지앤비서플라이,서울특별시,서초구,서울특별시 서초구 효령로66길 11,서울특별시 서초구 서초동 1438-15,37.48620102,127.0227387,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-60,유나이티드 아트리움,서울특별시,서초구,서울특별시 서초구 남부순환로339길 13,서울특별시 서초구 서초동 1432-20,37.48376206,127.02238,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-20,스타클래스,서울특별시,서초구,서울특별시 서초구 효령로67길 49-2,서울특별시 서초구 서초동 1610-20,37.48939501,127.0227142,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-11,서초뜨레피움,서울특별시,서초구,서울특별시 서초구 서리풀2길 20,서울특별시 서초구 서초동 1617-26,37.48753783,127.0218767,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
A-13,세미기업본사,서울특별시,서초구,서울특별시 서초구 서리풀길 8,서울특별시 서초구 서초동 1617-41,37.48718335,127.0210081,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-17,다부빌딩,서울특별시,서초구,서울특별시 서초구 서리풀길 16,서울특별시 서초구 서초동 1617-1,37.48779605,127.0208852,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-09,모던파크,서울특별시,서초구,서울특별시 서초구 남부순환로337길 36,서울특별시 서초구 서초동 1430-1,37.48434893,127.0206385,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-16,분토골어린이공원,서울특별시,서초구,서울특별시 서초구 사임당로14길 19,서울특별시 서초구 서초동 1628-30,37.48843373,127.0179199,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-10,공해방지빌라,서울특별시,서초구,서울특별시 서초구 효령로67길 32,서울특별시 서초구 서초동 1608-8,37.48855107,127.0234319,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-27,한국자동차산업협동조합,서울특별시,서초구,서울특별시 서초구 서초대로64길 31,서울특별시 서초구 서초동 1636-1,37.49473838,127.0210104,전기오토바이 충전소옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-15,인터아이빌딩,서울특별시,서초구,서울특별시 서초구 서초중앙로12길 27,서울특별시 서초구 서초동 1626-17,37.48796165,127.0163553,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-30,갈릭&페퍼,서울특별시,서초구,서울특별시 서초구 서초대로54길 37,서울특별시 서초구 서초동 1666-2,37.49258299,127.0165016,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-23,서초현대아파트,서울특별시,서초구,서울특별시 서초구 사임당로19길 28-11,서울특별시 서초구 서초동 1643-18,37.49130147,127.0195845,가로등옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-25,서초롯데캐슬아파트,서울특별시,서초구,서울특별시 서초구 사임당로19길 72-4,서울특별시 서초구 서초동 1643-31,37.49231657,127.0188717,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-31,서초구립중앙노인종합복지관,서울특별시,서초구,서울특별시 서초구 서초대로54길 45,서울특별시 서초구 서초동 1666-17,37.49232427,127.016811,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-21,상보르아파트,서울특별시,서초구,서울특별시 서초구 효령로67길 71-5,서울특별시 서초구 서초동 1610-1,37.49007126,127.0224514,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-22,아남아파트,서울특별시,서초구,서울특별시 서초구 서초대로64길 51,서울특별시 서초구 서초동 1635-10,37.49347546,127.0214178,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-29,서초태동스위트아파트,서울특별시,서초구,서울특별시 서초구 서초중앙로22길 78,서울특별시 서초구 서초동 1668-1,37.49378677,127.0181008,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-26,부동산월드,서울특별시,서초구,서울특별시 서초구 사임당로17길 113,서울특별시 서초구 서초동 1668-12,37.49336256,127.0187953,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-12,이노션 직장어린이집,서울특별시,서초구,서울특별시 서초구 사임당로14길 42,서울특별시 서초구 서초동 1619-9,37.48735048,127.0177236,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
A-28,자동차산업회관,서울특별시,서초구,서울특별시 서초구 서초대로64길 13,서울특별시 서초구 서초동 1679-6,37.49496212,127.0209245,전기오토바이 충전소옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-07,효신아트빌라,서울특별시,서초구,서울특별시 서초구 서운로11길 78,서울특별시 서초구 서초동 1350,37.48593415,127.0265646,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-02,일성서초빌라,서울특별시,서초구,서울특별시 서초구 효령로74길 25,서울특별시 서초구 서초동 1349,37.48680697,127.0269,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
A-08,용허리근린공원,서울특별시,서초구,서울특별시 서초구 서초대로70길 20,서울특별시 서초구 서초동 1324,37.4945074,127.0232177,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-03,아트빌딩,서울특별시,서초구,서울특별시 서초구 서운로9길 34,서울특별시 서초구 서초동 1349-21,37.48651514,127.0272576,옥외전기분전함옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-04,양재드림빌,서울특별시,서초구,서울특별시 서초구 강남대로41길 15-14,서울특별시 서초구 서초동 1360-24,37.48646717,127.0317432,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-05,서주빌딩,서울특별시,서초구,서울특별시 서초구 강남대로45길 17-2,서울특별시 서초구 서초동 1357-48,37.48795857,127.0308941,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
A-61,KS빌딩,서울특별시,서초구,서울특별시 서초구 강남대로47길 25,서울특별시 서초구 서초동 1357,37.48843895,127.0303326,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-38,하명달어린이공원,서울특별시,서초구,서울특별시 서초구 명달로20길 21,서울특별시 서초구 서초동 1514-7,37.48609848,127.0053462,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-51,서초동 한신아파트,서울특별시,서초구,서울특별시 서초구 남부순환로323길 37,서울특별시 서초구 서초동 1451-66,37.48273308,127.0136807,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-50,황실빌라,서울특별시,서초구,서울특별시 서초구 반포대로4길 13,서울특별시 서초구 서초동 1451-76,37.48203653,127.0135563,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-54,애지앙아파트,서울특별시,서초구,서울특별시 서초구 명달로4길 82,서울특별시 서초구 서초동 1466-4,37.48071453,127.0103453,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-56,서초엘씨랜드빌,서울특별시,서초구,서울특별시 서초구 남부순환로315길 31,서울특별시 서초구 서초동 1467-70,37.47991616,127.00785,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-55,서초아트빌,서울특별시,서초구,서울특별시 서초구 명달로4길 46,서울특별시 서초구 서초동 1469-6,37.48050836,127.0083141,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-58,우리은행 서초동 제1합숙소,서울특별시,서초구,서울특별시 서초구 명달로6길 31,서울특별시 서초구 서초동 1487-63,37.48137515,127.006604,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
A-57,한우빌딩,서울특별시,서초구,서울특별시 서초구 남부순환로315길 21,서울특별시 서초구 서초동 1467-75,37.47945789,127.0080706,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-53,아이티센빌딩,서울특별시,서초구,서울특별시 서초구 반포대로1길 25,서울특별시 서초구 서초동 1474-14,37.48172615,127.0116159,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-59,우진하이빌,서울특별시,서초구,서울특별시 서초구 명달로6길 8,서울특별시 서초구 서초동 1487-139,37.48034162,127.0062178,보안등옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-06,상명달공원,서울특별시,서초구,서울특별시 서초구 효령로40길 13,서울특별시 서초구 서초동 1487-19,37.48226474,127.0060201,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-52,신중어린이공원,서울특별시,서초구,서울특별시 서초구 반포대로7길 17,서울특별시 서초구 서초동 1475-3,37.48215472,127.0111171,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-33,법무법인 명도,서울특별시,서초구,서울특별시 서초구 반포대로23길 26,서울특별시 서초구 서초동 1503-14,37.48895934,127.0074228,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
A-39,경성연립,서울특별시,서초구,서울특별시 서초구 반포대로13길 96,서울특별시 서초구 서초동 1520-1,37.4860577,127.006422,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-37,동천빌라,서울특별시,서초구,서울특별시 서초구 명달로22길 29,서울특별시 서초구 서초동 1507-60,37.48668429,127.0058274,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-35,일광빌라,서울특별시,서초구,서울특별시 서초구 명달로22길 53,서울특별시 서초구 서초동 1508-44,37.48702453,127.0070703,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-34,수진빌딩,서울특별시,서초구,서울특별시 서초구 명달로22길 73,서울특별시 서초구 서초동 1508-9,37.48775442,127.0074046,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-36,호원주택,서울특별시,서초구,서울특별시 서초구 명달로22길 44-9,서울특별시 서초구 서초동 1512-9,37.48646304,127.006902,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-40,대성아트빌라,서울특별시,서초구,서울특별시 서초구 명달로16길 47,서울특별시 서초구 서초동 1519-8,37.48544052,127.006198,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-41,서초칸타빌,서울특별시,서초구,서울특별시 서초구 반포대로21길 79,서울특별시 서초구 서초동 1522-8,37.4853035,127.007351,가로등옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-42,오로나빌아파트,서울특별시,서초구,서울특별시 서초구 반포대로19길 9-12,서울특별시 서초구 서초동 1523-8,37.48679513,127.0085813,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-32,진석별관,서울특별시,서초구,서울특별시 서초구 효령로49길 57,서울특별시 서초구 서초동 1529,37.48635952,127.0093698,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-43,블레스서초아파트,서울특별시,서초구,서울특별시 서초구 효령로47길 11,서울특별시 서초구 서초동 1532-10,37.48430297,127.0093564,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-49,궁현어린이공원,서울특별시,서초구,서울특별시 서초구 반포대로24길 42-23,서울특별시 서초구 서초동 1546-5,37.48829134,127.0108235,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-48,연산빌딩,서울특별시,서초구,서울특별시 서초구 반포대로24길 42-4,서울특별시 서초구 서초동 1547-15,37.48918692,127.011011,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
A-47,남강빌딩,서울특별시,서초구,서울특별시 서초구 반포대로24길 41-14,서울특별시 서초구 서초동 1561-1,37.48976926,127.0117475,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-45,세계로빌딩,서울특별시,서초구,서울특별시 서초구 서초대로48길 91,서울특별시 서초구 서초동 1565-18,37.48887575,127.0124788,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-44,두성빌라,서울특별시,서초구,서울특별시 서초구 반포대로24길 55,서울특별시 서초구 서초동 1562-9,37.48912349,127.0119409,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
A-46,서초아크빌아파트,서울특별시,서초구,서울특별시 서초구 서초대로48길 59,서울특별시 서초구 서초동 1567-1,37.49034239,127.0126118,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-42,신광주택,서울특별시,서초구,서울특별시 서초구 신반포로45길 85,서울특별시 서초구 잠원동 32-4,37.51317627,127.0159703,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-01,삼화빌라,서울특별시,서초구,서울특별시 서초구 강남대로109길 73-6,서울특별시 서초구 잠원동 10-34,37.5162633,127.0165196,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-02,잠원동방음언덕형공영주차장,서울특별시,서초구,서울특별시 서초구 강남대로101안길 41,서울특별시 서초구 잠원동 15-1,37.51565674,127.0165394,장애인경사로 입구,서울특별시 서초구청,02-2155-6742,2025-02-18
B-18,잠원동노인정,서울특별시,서초구,서울특별시 서초구 강남대로107길 24,서울특별시 서초구 잠원동 7-9,37.51788202,127.0173232,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-07,우정빌딩,서울특별시,서초구,서울특별시 서초구 신반포로41길 32,서울특별시 서초구 잠원동 44-1,37.51132427,127.0165127,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-08,신영빌딩,서울특별시,서초구,서울특별시 서초구 신반포로43길 21,서울특별시 서초구 잠원동 45-10,37.5111014,127.0175059,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-03,그린타운1차,서울특별시,서초구,서울특별시 서초구 주흥5길 20,서울특별시 서초구 반포동 730-2,37.50480294,127.0186127,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-39,언구비공원,서울특별시,서초구,서울특별시 서초구 사평대로53길 110,서울특별시 서초구 반포동 709-5,37.50911895,127.0201338,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-12,골든허니빌,서울특별시,서초구,서울특별시 서초구 주흥15길 36,서울특별시 서초구 반포동 701-38,37.50821993,127.017265,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-62,언구비공원,서울특별시,서초구,서울특별시 서초구 사평대로53길 110,서울특별시 서초구 반포동 709-5,37.50911895,127.0201338,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-38,행복빌라,서울특별시,서초구,서울특별시 서초구 주흥길 31,서울특별시 서초구 반포동 728-47,37.5058706,127.0193344,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-06,그린타운1차,서울특별시,서초구,서울특별시 서초구 주흥3길 34,서울특별시 서초구 반포동 730,37.50497498,127.0183131,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-05,한양빌,서울특별시,서초구,서울특별시 서초구 주흥7길 10-4,서울특별시 서초구 반포동 728-26,37.50536467,127.0188809,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-09,효성빌라,서울특별시,서초구,서울특별시 서초구 사평대로20길 99,서울특별시 서초구 반포동 100-8,37.49497798,126.9964475,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-10,덕산빌라,서울특별시,서초구,서울특별시 서초구 사평대로22길 96,서울특별시 서초구 반포동 101-7,37.49529876,126.9972609,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-11,효성빌라,서울특별시,서초구,서울특별시 서초구 사평대로14길 32,서울특별시 서초구 반포동 612-110,37.49702479,126.9941464,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-13,반포4동주민센터,서울특별시,서초구,서울특별시 서초구 사평대로28길 70,서울특별시 서초구 반포동 74-7,37.49748589,127.0003286,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-14,레이나,서울특별시,서초구,서울특별시 서초구 서래로4길 29,서울특별시 서초구 반포동 76-7,37.49699809,127.000036,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-15,그린하우스,서울특별시,서초구,서울특별시 서초구 서래로2길 58,서울특별시 서초구 반포동 81-10,37.49580812,127.0013979,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-16,한솔빌라,서울특별시,서초구,서울특별시 서초구 동광로49길 23,서울특별시 서초구 반포동 83-4,37.49444876,127.0021774,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-17,혜원빌리지,서울특별시,서초구,서울특별시 서초구 동광로47길 7,서울특별시 서초구 반포동 84-13,37.49412711,127.0013824,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-40,정광빌라,서울특별시,서초구,서울특별시 서초구 서래로5길 37-22,서울특별시 서초구 반포동 107-57,37.49697207,126.9959918,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-35,효성빌라 정문,서울특별시,서초구,서울특별시 서초구 사평대로20길 76,서울특별시 서초구 반포동 591-1,37.49553884,126.996093,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-04,하우시빌,서울특별시,서초구,서울특별시 서초구 서래로2길 21,서울특별시 서초구 반포동 78-13,37.49612393,126.999567,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-19,대도빌라,서울특별시,서초구,서울특별시 서초구 방배로40길 31,서울특별시 서초구 방배동 12,37.49509401,126.9910321,골목끝,서울특별시 서초구청,02-2155-6742,2025-02-18
B-20,동광방범3초소,서울특별시,서초구,서울특별시 서초구 동광로27길 60,서울특별시 서초구 방배동 1-119,37.49570129,126.993873,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-25,프러쉬빌라,서울특별시,서초구,서울특별시 서초구 사평대로6길 72-12,서울특별시 서초구 방배동 12-35,37.49509882,126.9915798,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-24,밸류빌,서울특별시,서초구,서울특별시 서초구 방배로40길 15-23,서울특별시 서초구 방배동 12-63,37.49562829,126.9907688,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-22,삼호빌라2차,서울특별시,서초구,서울특별시 서초구 동광로27길 120,서울특별시 서초구 방배동 732,37.49708266,126.9915851,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-26,이수공영주차장 ,서울특별시,서초구,서울특별시 서초구 동광로11길 111,서울특별시 서초구 방배동 762-3,37.49612683,126.9847959,주차장 뒤쪽,서울특별시 서초구청,02-2155-6742,2025-02-18
B-23,비욘디에아파트,서울특별시,서초구,서울특별시 서초구 사평대로6길 44,서울특별시 서초구 방배동 764,37.49616487,126.9912961,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-29,유성당빌딩,서울특별시,서초구,서울특별시 서초구 사평대로2길 19-19,서울특별시 서초구 방배동 756-7,37.49704223,126.9861424,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-30,서초이화어린이집,서울특별시,서초구,서울특별시 서초구 방배로39길 42,서울특별시 서초구 방배동 769-19,37.49422224,126.9867425,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-27,등대순복음교회,서울특별시,서초구,서울특별시 서초구 방배로43길 37,서울특별시 서초구 방배동 769-2,37.49531485,126.9863925,전기오토바이 충전소옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-34,선명빌딩,서울특별시,서초구,서울특별시 서초구 동광로7길 28,서울특별시 서초구 방배동 789-1,37.49221021,126.9852783,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-31,아스트로,서울특별시,서초구,서울특별시 서초구 방배로37길 35,서울특별시 서초구 방배동 794-1,37.49307944,126.9879262,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-45,가문실버복지센터,서울특별시,서초구,서울특별시 서초구 방배중앙로 174-9,서울특별시 서초구 방배동 769-25,37.49475247,126.9865987,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-76,O627 스튜디어,서울특별시,서초구,서울특별시 서초구 방배로42길 11,서울특별시 서초구 방배동 18-21,37.49537751,126.989408,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-77,라파예트빌라,서울특별시,서초구,서울특별시 서초구 사평대로6길 91,서울특별시 서초구 방배동 1-43,37.49473078,126.9932097,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-48,몽드빌Ⅰ,서울특별시,서초구,서울특별시 서초구 방배로19길 36-16,서울특별시 서초구 방배동 321-4,37.48542776,126.99288,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-51,효성교회,서울특별시,서초구,서울특별시 서초구 서초대로34가길 43,서울특별시 서초구 방배동 889-4,37.48660045,126.9983582,교통반사경옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-64,방배동원빌라,서울특별시,서초구,서울특별시 서초구 서초대로30길 11-21,서울특별시 서초구 방배동 891-1,37.48764659,126.9972523,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-65,해경주택,서울특별시,서초구,서울특별시 서초구 서초대로34길 22,서울특별시 서초구 방배동 893-7,37.48841012,126.9982822,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-66,셀빨래방 방배점,서울특별시,서초구,서울특별시 서초구 방배로18길 13-14,서울특별시 서초구 방배동 902-12,37.48554686,126.9966041,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-56,홈스테이드,서울특별시,서초구,서울특별시 서초구 방배로11길 8,서울특별시 서초구 방배동 911-12,37.48188767,126.9960188,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-47,삼현빌딩,서울특별시,서초구,서울특별시 서초구 방배로22길 19,서울특별시 서초구 방배동 899-9,37.48656515,126.9957511,통신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-57,서초구립 방배1동 초록꿈어린이집,서울특별시,서초구,서울특별시 서초구 효령로23길 16,서울특별시 서초구 방배동 916-7,37.48116398,126.9939738,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-58,서초구립 방배1동 초록꿈어린이집,서울특별시,서초구,서울특별시 서초구 효령로23길 16,서울특별시 서초구 방배동 916-7,37.48116398,126.9939738,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-55,방배1동주민센터,서울특별시,서초구,서울특별시 서초구 효령로29길 43,서울특별시 서초구 방배동 922-18,37.48336166,126.9945139,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-59,미주하이츠빌라,서울특별시,서초구,서울특별시 서초구 효령로23길 40,서울특별시 서초구 방배동 920-28,37.48215109,126.9933709,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-61,하이택,서울특별시,서초구,서울특별시 서초구 효령로27길 74,서울특별시 서초구 방배동 927-13,37.48391619,126.9937797,통신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-60,서초예랑어린이집,서울특별시,서초구,서울특별시 서초구 효령로23길 82,서울특별시 서초구 방배동 929-4,37.48383097,126.9923708,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-49,샬롬빌,서울특별시,서초구,서울특별시 서초구 방배로23길 46,서울특별시 서초구 방배동 939-20,37.48575665,126.9918399,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-54,카페마로니에,서울특별시,서초구,서울특별시 서초구 방배로19길 14,서울특별시 서초구 방배동 935-20,37.48526971,126.9941853,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-53,코알라홈,서울특별시,서초구,서울특별시 서초구 서초대로22길 41,서울특별시 서초구 방배동 935-18,37.48545736,126.9936441,통신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-68,삼성아트빌,서울특별시,서초구,서울특별시 서초구 방배로18길 24-18,서울특별시 서초구 방배동 906-11,37.48480327,126.997078,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-63,선빌딩,서울특별시,서초구,서울특별시 서초구 서초대로30길 9,서울특별시 서초구 방배동 141-32,37.4878674,126.996144,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-50,델피노,서울특별시,서초구,서울특별시 서초구 방배로23길 62,서울특별시 서초구 방배동 941-17,37.48543358,126.9910159,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-25,파크캐슬,서울특별시,서초구,서울특별시 서초구 효령로21길 6,서울특별시 서초구 방배동 978-31,37.48029093,126.992877,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
C-04,남태령하천 입구,서울특별시,서초구,서울특별시 서초구 전원말안1길 10,서울특별시 서초구 방배동 2732-35,37.46706512,126.9885627,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-03,임강건설,서울특별시,서초구,서울특별시 서초구 전원말안길 21,서울특별시 서초구 방배동 2739-16,37.46759444,126.9903172,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
